用户名,性别,IP地址,评论内容
极寒狙击手,保密,辽宁,"太有节目了[吃瓜]，2025年出的产品，可能依旧是lcd屏，一大堆人却在“叫好”“理解”，不说太高大的话，就正常逻辑能这么说的必然是任天堂的家族企业中的一员吧[吃瓜]
和ps5pro价格合理，xss性能足够强大一个团体的"
施天绘,男,山东,机器性能提升能提升到哪，只期待游戏
HyugaHinata-,男,上海,比起720 60fps， 我更想要1080p30fp
伊特Yiter,男,湖北,我等的花都谢了
疯狂的石头在路上憨笑,男,四川,不得不说，别人这个视频做得很好，很有新意。
模型简单说,男,山西,这就是NS的再升级版。。。大家散啦吧(⁎⁍̴̛ᴗ⁍̴̛⁎)
iRocky,男,澳大利亚,公布花3个月，生产备货3个月，市场耍猴3个月，我等任豚们的2025年有了👌
热血且困困66,女,贵州,越来越大了[笑哭]我玩oled都手酸
起什么名都管,保密,吉林,无所谓，出就买
米斯特纲,男,上海,听说芯片是三星8nm，性能不如骁龙888？[笑哭][微笑]
隔壁小张的狗子,保密,浙江,纯黑的设计好丑啊 不过我还是会买
一广隶画生,男,河南,电子废料
I_am_sker,男,山东,刚买的野炊dlc 不会ns2更第三弹然后原价卖吧 那我不老亏了吗
战争骑士简称战士,男,贵州,《见证历史》，脑缠真多啊
M00N慕,保密,福建,能追上steamdeck一半性能就算胜利[doge]
叫我小祢就好,保密,新疆,虽然没有ns，但是升级保留原有外观的设计还蛮棒的，ns2都要出来了，我sd2啥时候能出来啊
袖珍米塔-official,保密,天津,switch2跑守望先锋能跑到60帧吗[星星眼]
SudaMisaka,保密,江苏,咱就是说芯片是台积电还是三丧代工的啊，如果是三丧的话，那可就太恐怖了[辣眼睛][辣眼睛][辣眼睛]
My丶Cinderella,保密,上海,所以这次性能能超过骁龙8E吗？
空-条jo太郎,男,安徽,终于给我等到了，还好忍住了多年想买ns的心，现在高性能+掌机可算给我逮到了😋
小白955,保密,山东,有1080p的60帧的塞尔达传说吗
特三四零九,男,云南,看来原神登录硬是等到NS2了，这会机能总够了吧[笑哭]
临事方知一死难,保密,江苏,真的假的？我终于可以买Switch了！
是小白猫哒,男,河北,1代末期了，是不是该把节奏天国端上来了[脱单doge]，正好插到2上玩
依樱思舞依寺,保密,海南,所以王国之泪能在switch2 60帧运行了吗？
豆沙喵咪,保密,北京,次世代主机们，你们来了！
谁叫王德发,男,辽宁,这开机动画不得变一下了[吃瓜]
红木棺材批发零售,保密,四川,能玩原神吗
可爱的袁绍,男,上海,感觉那个手柄链接的地方很容易断
固拉多会飞234,保密,四川,Switch 2会像switch1一样可以直接把账号转移吗？网易邮箱丢了，改不了密码，又不让恢复
微博改不了名儿,男,山东,不知道为啥老任不和索尼一样弄自己的独家图标，不过索尼的图标独家也不是一点用没有。战神5的三角充能和蜘蛛侠2的三角滑翔都是独有，因为第一方要进行最好的适配。
蒯小富,保密,湖南,@bili_572493307 笑点解析：见证历史
神圣的f2啊,保密,广东,我整笑了 虽然我挺喜欢任天堂的 但是这种升级只有说聪哥走了 任天堂是不会设计机器了？ 当年will的经历忘记了？ 还觉得可以继承3ds和new 3ds一样？
您的东西在我这里,男,湖北,问题是switch比ps5还能落灰ps5还能看看站，switch才是真落灰。我switch在手上四五年，只玩过崛起，双人成行，和王国之泪。
果汁儿喝啥好,保密,河北,就算出了我也感觉不是当年的我了，当年刚出来ns独占游戏对我都特别有吸引力，现在感觉麻木了，ns我买了三个，续航，OLED，别的都卖了，留了一个，在家里也生灰😞是我老了么？
某某某mou某,保密,广东,刚接触主机，不太懂，请问一下大佬ns2上的游戏ns也会上吗？今年想入ns了，ns2因为溢价这两年不考虑了，但又想玩首发游戏，买ns也能玩到吗？
猪竹主,男,浙江,所有第一方能达到1080p 60帧我就满意了，
宝贝摇头么,保密,山西,对于我一个学过犀牛的人来说，太爽了
兰梦说,男,天津,这算是老任外观和功能变化最小的一个次世代主机了吧
XM-XXGhost,保密,广东,我關心一條，以前遊戲的數據怎麼遷移？
睿睿122,男,吉林,国行烈士前来围观[笑哭][笑哭]
YakiTom,男,云南,有没有新的火焰纹章！
平安吴大师与二三,保密,浙江,宝可梦za还真就成了switch2的护航大作了是吧？[笑哭]
婉悘,男,云南,真是买之无味，不买可惜，如果有高画质第一方新作那当我没说[doge]
威廉花生,保密,上海,大这么一圈爽是爽，就是真带不出门了吧，就连随身胸包腰包都得换一遍[tv_流泪]
两只老鸽子,女,天津,我草真的switch2来了
黎明不再,男,江西,"卡带向下兼容有两个巨大的问题
1，原版卡带已经被破解了，这意味着NS2一发布就可以玩盗版游戏。而且这个问题很难有解决办法，因为NS卡带从Dump文件到写进盗版卡带毫无阻碍，任何一张二手卡带都有可能被Dump过，不能通过特征码来判定读取的卡带是正版还是盗版。
2，用的还是原版那个相当于emmc读取速度的版本，那很可能新一代游戏仍然是基于100Mb/s以下读写速度开发，在PS5/Xbox Series世代就已经普及了的SSD特性，在NS2这里居然还没升级。当然也有解决方案：1是触点增多并向下兼容，类似于UHS2 SD卡那样；2是新游戏卡带得移动到主机存储里玩。但这两个方案都不太现实，新的开发环境下闪存带宽管理又是一个难题了。
 
因此我一直认为不应该向下兼容卡带，而是应该只向下兼容游戏…"
流浪诗人的爸爸,保密,广东,完全向下兼容太保守了，前期发行的游戏机能下限绝比是奔着tegraX1去做的。估计首发红绿帽子加卡比了，第三方别说独占了，炒个冷饭都难[呆]
jhbjhjnk,保密,江苏,有点大呀这怎么握，那么问题来了ns2的首发卡带能回兼容ns么
爱刹那,男,山东,第一次接触任天堂，礼貌问题下这个能不能玩法环。我有一个steamdeck可以玩法环，但是太大了[笑哭]
大芒果的游戏圈,男,河北,不是 Switch oled把边框缩窄了很棒，怎么下一代边框反倒大了？反向升级还是以后再整出个oled版啥的缩小边框？
Sand-Dunes,保密,四川,switch真尼玛理财产品，看看同年发布的手机 平板 显卡 相机这些数码产品价格，再看看switch的价格那是真的坚挺。都买不到便宜的[呆]
diu_内,保密,广东,ns已经够重够大了，ns2还要再加大，你是做掌机还是平板？还有那个手柄连接方式，以前的是有什么缺陷吗，非要升级成凸出一片磁吸。强度比得上导轨吗
赵可矣,男,河北,为什么要用低饱和的红蓝，感觉红蓝对比再硬一点可能好看很多，现在的配色如果是搭配白色机型估计才会很好看吧[微笑][微笑]
矢车菊开丶,男,陕西,这磁吸设计你确定不会一个不小心直接滑脱了摔地上？
阿努比斯神殿殿长,男,辽宁,到25年底缺货一年，26年底溢价一年，真正平价买到手等27年初吧[喜极而泣]
你的就是我的nd,男,广东,这个应该是鼠标模式的传感器吗？
框架_,男,湖北,感觉是两只预告片拼在一起为了凑这个这个视频时长，后半部分预告片的背景音乐很棒
M银河护胃队M,男,山东,第一眼有种大号平板的感觉，反正会出lite版，没了便携性还不如放弃屏幕。
丹佛最后一只恐龙,保密,辽宁,成功的次世代主机才配以数字命名[OK]
全被注册了啊,保密,湖南,能在ns2运行嘛[腾讯招聘_短鹅]高清就美滋滋了
列奥那多,男,浙江,宝传说ZA要是只在2上发售，那我只能忍痛买了，希望他在1上也发售
酱油君2333,男,江苏,众所周知，前天是原神NS版宣传片发布5周年纪念日
45688723,保密,福建,那以前买的pro手柄还能用吗（
耶洗别不当ntr,保密,广西,希望pro手柄还能用[微笑]
SakuraEphemera,保密,江西,真的是新机，还以为之前的爆料是假的
bili_57757715265,保密,重庆,我说一个数，发售价 2099[doge_金箍][doge_金箍][doge_金箍]
只想安静看鬼畜,保密,四川,越来越大的《掌机》，我宁愿ns做小一点，便携性做的好一点
AAA御香山香料批发,保密,山东,感觉差不多啊[笑哭][笑哭]性能提升不大的话似乎没必要换机子
火星一枚,保密,河北,充电口啥时候能安上面啊，边充电边打游戏是真难受[大哭]还有2代有没有可能出充电宝，我不想再过充满电才能放心带NS出去的日子了[大哭][大哭]
哆啦A梦人柱力,保密,河南,配色好奇怪啊，怎么红蓝就一点啊，偏成熟感
大白先生奶糖,保密,湖南,虽然说串台了，但是steam deck的性价比一下上来了。
蟹八,保密,中国香港,"感觉完成度挺高的
但是不知道为什么，就是没有那种......惊喜感？
等游戏阵容吧"
lTnTl-,保密,湖南,4.2发售不等于当天能买到，估计要等到6-7月
快乐鱼男,男,广东,烧录卡还能用吗🧐
゚゚派蒙,保密,安徽,不知道能不能720/60感觉到我能自己赚钱买新版Switch的时候，手机上跑主机游戏画质和性能都能比Switch高了[笑哭]
握次悠内姆,保密,山西,这宣传片找苹果做的吧哈哈哈哈，就看性能了
Romonename,保密,山东,之前预测名称都在说任天堂每代都有创新起名不可能ns2这么简单，结果就是这么简单
味鲜,保密,广东,好大的感觉，插手柄的地方会不会容易变形
想不出名字的画画人,男,广东,"喜欢掌机模式的我老老实实等switch2lite[吃瓜],switch2lite肯定和switch一代大小一样"
虚壳-维森弥丝,保密,江西,哥们只想知道两件事，60帧有乎？1080P有乎？
马西达女士ROSE,保密,广东,想问一下几月份能买到手？
紙箱2,保密,四川,想看看任天堂准备首发是哪几个和gta6掰手腕[吃瓜]
漩涡玖辛萘,男,河南,只想用NS2重新玩一遍异度之刃！！！！
学部尚书,保密,广东,期待switch3[吃瓜]
卡米Entropy,男,广东,老任真的扣，绷不住了
大触养成日记,保密,浙江,感觉像苹果手机升级
長崎そよRIN,保密,芬兰,有点丑
-萨缪尔-,男,浙江,不急，等第一方上线+黄牛货烂在手里还得好久，我先玩deck去了[猴哥]
清输人新呢你,男,湖南,第三方至少不要像巫师三一样糊成360p就行[呲牙]
影骑士睿智舰长,保密,广东,现在ns都吃灰了。我买它一开始就是为了玩塞尔达。王国之泪和旷野之息，通关之后就王国之泪还在玩拼装。但是玩着玩着也腻了。二代买不买都无所谓。估摸着接下来两年塞尔达王国之泪续作都不会有消息，
LeGerald,男,北京,NS2能把截图上限1000张的限制删了吗[捂脸]
黑白双形,男,内蒙古,不敢看好，名字太敷衍
琴匠辞林,男,法国,呃，反正这个尺寸大多数时候都只能待在底座上了，手持根本拿不了多久，更希望能了解一下具体参数，目测自带屏幕有1080p左右，不太可能上到2k的样子。至于用上底座的表现，只要在独占作品里全程锁1080P60帧甚至能上2K60或者1080P90帧就能让人有购买欲望了。
乐子人别来恶心我,保密,江西,为啥有人会在弹幕认为向下兼容是很惊喜的事？难道真的认为一款已经发布了这么久的一代，受众真的很多 有钱到买二代还要重新买卡带 的人吗？（这里只指买卡带的玩家）
Thewkl,保密,贵州,我感觉这次的改动也算是可以，只要性能提升了我觉得就是最大的改动，外观感觉也还可以，因为屏占比变高了，可以更好的看腾讯视屏了，但是只是不知道国行还在不在，ns 2的游戏卡带应该会比ns1游戏卡带贵，但是幸好二代可以兼容一代的卡带，还有最后希望腾讯的游戏掌机也可以ns2一样可玩性高，加油腾讯！！！
CyanideC,女,江苏,能兼容的意思是2兼容1的游戏吧？那1能玩不2的游戏吗？🤔
转游戏,男,上海,你永远可以相信任天堂的硬件水平[doge]
叛桃Kurumi,保密,浙江,上一次看到这么多见证历史的弹幕还是在尹卡卡被捕的视频里，看来NS出2也是可以载入历史的了[Mygo表情包_让我看看]
孙吧驻童厕办,保密,广东,重制异度之刃2！
喵の左爪,男,浙江,终于支持苹果的VISION Pro 了[打call][打call][打call]
